Kommune,Gennemsnit for alle personer (kr.)
Landsdel Byen København,353203
København,342385
Frederiksberg,412387
Dragør,437574
Tårnby,339955
Landsdel Københavns omegn,388125
Albertslund,295184
Ballerup,339849
Brøndby,295586
Gentofte,663328
Gladsaxe,357810
Glostrup,331431
Herlev,334649
Hvidovre,328742
Høje-Taastrup,318459
Ishøj,290740
Lyngby-Taarbæk,470822
Rødovre,330436
Vallensbæk,358542
Landsdel Nordsjælland,414861
Allerød,437980
Egedal,382190
Fredensborg,411693
Frederikssund,341632
Furesø,441619
Gribskov,340353
Halsnæs,317475
Helsingør,364897
Hillerød,375970
Hørsholm,552971
Rudersdal,619415
Landsdel Bornholm,291198
Bornholm,291198
Landsdel Østsjælland,366362
Greve,360347
Køge,339180
Lejre,366862
Roskilde,377376
Solrød,409689
Landsdel Vest- og Sydsjælland,309143
Faxe,316447
Guldborgsund,289707
Holbæk,327589
Kalundborg,313234
Lolland,276923
Næstved,315629
Odsherred,294814
Ringsted,328577
Slagelse,303009
Sorø,331063
Stevns,330035
Vordingborg,297340
Landsdel Fyn,306467
Assens,307255
Faaborg-Midtfyn,303491
Kerteminde,319218
Langeland,273927
Middelfart,346553
Nordfyns,305767
Nyborg,305597
Odense,299596
Svendborg,312320
Ærø,275369
Landsdel Sydjylland,321709
Billund,330078
Esbjerg,323003
Fanø,332734
Fredericia,320608
Haderslev,307969
Kolding,332888
Sønderborg,312845
Tønder,298550
Varde,314202
Vejen,315692
Vejle,343644
Aabenraa,305855
Landsdel Østjylland,328745
Favrskov,341952
Hedensted,331872
Horsens,325451
Norddjurs,294950
Odder,330256
Randers,308386
Samsø,297801
Silkeborg,340637
Skanderborg,366933
Syddjurs,324847
Aarhus,327869
Landsdel Vestjylland,318336
Herning,322493
Holstebro,314745
Ikast-Brande,324890
Lemvig,317157
Ringkøbing-Skjern,317349
Skive,305678
Struer,300986
Viborg,324806
Landsdel Nordjylland,309448
Brønderslev,308082
Frederikshavn,303939
Hjørring,307772
Jammerbugt,302417
Læsø,277551
Mariagerfjord,312392
Morsø,296882
Rebild,345560
Thisted,306245
Vesthimmerlands,302365
Aalborg,310886
 ,
 ,
 ,
 ,
 ,
